2015Rank Boys Births
940 Boone 220
941 Cairo 220
942 Kashton 220
943 Rashad 220
944 Gibson 219
945 Jabari 219
946 Avi 218
947 Quintin 218
948 Seamus 218
949 Rolando 217
950 Sutton 217
951 Camilo 216
952 Triston 216
953 Yehuda 216
954 Cristopher 215
955 Davin 215
956 Ernest 215
957 Jamarion 215
958 Kamren 215
959 Salvatore 215
960 Anton 214
961 Aydan 214
962 Huxley 214
963 Jovani 214
964 Wilder 214
965 Bodie 213
966 Jordyn 213
967 Louie 213
968 Achilles 212
969 Kaeden 212
970 Kamron 212
971 Aarush 211
972 Deangelo 211
973 Robin 211
974 Yadiel 211
975 Yahya 211
976 Boden 209
977 Ean 209
978 Kye 209
979 Kylen 209
980 Todd 209
981 Truman 209
982 Chevy 208
983 Gilbert 208
984 Haiden 208
985 Brixton 207
986 Dangelo 207
987 Juelz 207
988 Osvaldo 207
989 Bishop 206
990 Freddy 206
991 Reagan 206
992 Frankie 205
993 Malaki 205
994 Camren 204
995 Deshawn 204
996 Jayvion 204
997 Leroy 204
998 Briar 203
999 Jaydon 203
1000 Antoine 202
